Spanish,English
lunes,Monday
picnic,picnic
martes,Tuesday
plato principal,main course
segundo plato,second course
miércoles,Wednesday
postre,dessert
jueves,Thursday
viernes,Friday
sábado,Saturday
albaricoque,apricot
domingo,Sunday
banana,banana
fin de semana,weekend
berenjena,eggplant
cebolla,onion
cereza,cherry
enero,January
champiñón,mushroom
febrero,February
ciruela,plum
marzo,March
coco,coconut
abril,April
col,cabbage
mayo,May
coliflor,cauliflower
junio,June
frambuesa,raspberry
julio,July
fresa,strawberry
agosto,August
fruta,fruit
septiembre,September
lechuga,lettuce
octubre,October
limón,lemon
noviembre,November
mango,mango
diciembre,December
manzana,apple
año,year
anual,annual
anualmente,annually
cada año,every year
melocotón,peach
fecha,date
melón,melon
naranja,orange
primavera,spring
pepino,cucumber
verano,summer
pera,pear
otoño,autumn
pimiento,pepper
invierno,winter
piña,pineapple
estaciones,seasons
plátano,plantain
sandía,watermelon
tomate,tomato
almuerzo,lunch
uvas,grapes
aperitivo,appetizer
verduras,vegetables
barbacoa,barbecue
zanahoria,carrot
cena,dinner
comida,food
vegetariana,vegetarian
vegana,vegan
desayuno,breakfast
dieta,diet
